// + this card mentions this character's generic name or unique trait OR this card's specific name is mentionened by different a card with this character's name OR this card mentions a specific card with this character's name
// Skip climaxes and cards without a character that appears in at least 9 cards.
// Characters names cannot contain spaces!
// Single / has no meaning, it is treated as part of the character's name
// Start CardID = until the next "Start" line each line is considered to have this before it in the id number. (English E and trailing letters (001a 001b) should be excluded)
Start KS/W49-
001 Darkness
002 Chris/Eris
003 Kazuma
004 Darkness
005 Kazuma +Megumin
006 Darkness
007 Darkness
008 Chris/Eris
009 Chris/Eris
010 Darkness
013 Darkness
014 Darkness
015 Darkness
016 Kazuma
017 Chris/Eris
018 Darkness
019 +Megumin
020 +Aqua
021 Kazuma
022 Kazuma
023 Darkness
024 Darkness
025 Darkness
026 Kazuma
027 Chris/Eris
028 Kazuma
029 Darkness
034 Megumin
035 Menumin
036 Wiz
037 Megumin
038 Megumin
039 Yunyun
040 Megumin
041 Wiz
042 Megumin
043 Yunyun
044 Wiz
045 Wiz
046 Yunyun
047 Megumin
048 Megumin
049 Wiz
050 Megumin
051 Megumin
052 Wiz
054 Megumin
055 Megumin
059 Megumin
060 Wiz
061 Yunyun
062 Megumin
064 Megumin
065 Wiz Kazuma
071 Aqua
072 Chris/Eris
073 Aqua
074 Chris/Eris
075 Aqua +Chris/Eris
076 Chris/Eris
077 Aqua
078 Aqua
079 Chris/Eris
080 Aqua
081 Aqua
082 Aqua
083 Aqua
084 Aqua
085 Aqua +Megumin
086 Aqua
087 Aqua
088 Chris/Eris
089 Aqua
090 Aqua
091 Aqua
092 Aqua
093 Aqua
094 Aqua
095 Aqua
096 Aqua
097 Chris/Eris
101 Kazuma
102 Darkness
103 Megumin
104 Aqua
P01 Darkness
P02 Aqua
P03 Megumin
P06 Aqua
T01 Kazuma +Aqua
T02 Megumin
T03 Megumin
T04 Megumin
T05 Megumin
T06 Megumin
T07 Megumin
T08 Megumin
T09 Megumin
T12 Aqua
T13 Aqua
T14 Aqua
T15 Aqua
T16 Aqua
T17 Aqua
T18 Aqua
T19 Aqua
